staff_member,replicability_adj,yrs_treatment_adj,el_nino_adj,additional_yrs_treatment,,,,,,,,,
Amar,16%,90%,65%,1.69,,,,,,,,,
Andrew,11%,90%,65%,1.69,,,,,,,,,
Caitlin,11%,90%,65%,1.69,,,,,,,,,
Dan,11%,90%,65%,1.69,,,,,,,,,
Elie,11%,90%,65%,1.69,,,,,,,,,
Holden,25%,90%,54%,2.00,,,,,,,,,
Isabel,11%,90%,65%,1.69,,,,,,,,,
James,11%,90%,65%,1.69,,,,,,,,,
Josh,11%,90%,65%,1.69,,,,,,,,,
Natalie,11%,90%,65%,1.69,,,,,,,,,
Nicole,11%,90%,65%,1.69,,,,,,,,,
Olivia,11%,90%,65%,1.69,,,,,,,,,
Stephan,11%,90%,65%,1.69,,,,,,,,,
